,Country,Cloudiness,Humidity,Date,Latitude,Longitude,Max Temp,Wind Speed,City
288,RU,70,95,1616429633,61.1333,74.8167,-9.65,2.66,lokosovo
289,KZ,34,95,1616429634,51.8,68.3333,-10.38,3.07,atbasar
290,IR,75,71,1616429635,37.4747,57.329,9.0,3.09,bojnurd
291,MX,1,71,1616429637,32.3333,-117.0333,12.0,2.06,rosarito
292,PL,0,45,1616429639,52.2298,21.0118,5.56,5.66,warsaw
293,AW,20,61,1616429634,12.524,-70.027,29.0,10.8,oranjestad
294,RU,79,80,1616429642,71.9667,102.5,-25.31,5.52,khatanga
295,BD,0,54,1616429643,23.9202,90.2109,29.0,1.67,dhamrai
296,KM,45,64,1616429644,-12.28,43.7425,29.46,2.27,fomboni
297,CA,90,93,1616429520,52.9999,-122.5029,0.0,1.54,quesnel
298,RU,20,51,1616429647,59.7035,30.7861,0.0,5.0,nikolskoye
299,RU,56,81,1616429648,43.0645,44.7417,4.0,5.0,oktyabrskoye
300,CN,40,59,1616429649,31.6836,112.0044,11.23,4.18,wuan
301,PG,16,86,1616429651,-9.0763,143.2092,26.65,2.09,daru
302,NO,50,82,1616429652,59.1,9.5667,7.78,0.89,herre
303,NO,0,68,1616429654,70.3705,31.1107,-3.0,3.6,vardo
304,PF,20,78,1616429655,-17.7333,-149.15,26.0,2.06,tautira
305,GL,89,64,1616429656,61.994,-49.6678,-6.59,0.97,paamiut
306,US,1,45,1616429658,33.1812,-102.2744,20.0,8.75,brownfield
307,GF,67,87,1616429659,3.1655,-52.3158,27.8,1.75,camopi
308,US,40,100,1616429660,20.8947,-156.47,20.0,2.06,kahului
309,ID,100,97,1616429662,-2.5333,112.95,23.62,1.04,sampit
310,RE,0,78,1616429663,-21.3667,55.6167,28.0,3.6,saint-joseph
311,US,1,66,1616429664,45.0205,-93.218,11.0,2.06,saint anthony
312,AU,12,85,1616429666,-35.5667,138.6167,18.33,1.94,victor harbor
313,RU,100,95,1616429531,59.4511,112.5578,-21.24,1.44,vitim
314,ZA,0,23,1616429668,-33.0117,17.9442,31.0,6.17,saldanha
315,NO,0,55,1616429670,69.4719,25.5112,-1.0,6.69,karasjok
316,LY,37,25,1616429671,30.3333,10.85,14.56,7.88,nalut
317,US,66,49,1616429672,40.5489,-84.5702,17.22,2.68,celina
318,CN,0,54,1616429674,32.4586,114.0486,8.79,2.86,minggang
319,ID,100,85,1616429675,4.1363,96.1285,25.98,1.52,meulaboh
320,RU,100,96,1616429677,69.3497,87.7602,-18.17,2.64,kayerkan
321,ID,100,91,1616429678,-3.3667,135.4833,24.33,2.38,nabire
322,IN,0,69,1616429680,10.5669,72.642,28.64,3.25,kavaratti
323,ID,29,82,1616429681,-10.1667,123.5833,26.2,1.26,kupang
324,BO,75,69,1616429682,-20.4167,-63.2833,24.0,2.11,boyuibe
325,BR,100,78,1616429684,-3.3336,-43.5283,28.37,1.59,sao benedito do rio preto
326,RU,31,75,1616429685,42.1704,47.1161,1.61,3.77,kumukh
327,US,1,44,1616429687,44.3876,-68.2039,14.44,2.57,bar harbor
328,NO,40,80,1616429688,71.0357,27.8492,-2.0,7.72,mehamn
329,NO,40,69,1616429689,70.9963,24.6622,-1.0,8.23,havoysund
330,GA,97,80,1616429691,-3.432,10.6554,25.89,2.83,mayumba
331,RU,100,82,1616429692,59.3833,143.3,-9.27,8.52,okhotsk
332,IN,42,20,1616429693,20.635,82.0614,27.59,0.66,gariaband
333,CA,1,70,1616429695,66.1451,-65.7125,-26.0,1.87,pangnirtung
334,GT,0,44,1616429696,14.1,-89.75,28.0,1.54,jerez
335,AU,8,74,1616429698,-33.3667,116.15,11.94,3.17,collie
336,UA,0,48,1616429699,47.6525,35.2539,5.0,1.33,malokaterynivka
337,ES,0,58,1616429700,43.2686,-7.5406,16.11,4.92,bereda
338,DK,75,81,1616429702,55.2464,9.306,7.0,6.17,vojens
339,US,90,72,1616429444,29.6516,-82.3248,18.89,4.63,gainesville
340,RU,75,77,1616429532,51.9833,116.5833,-3.33,2.5,nerchinsk
341,RU,98,97,1616429531,70.0167,135.6,-27.1,2.78,ust-kuyga
342,ML,60,11,1616429707,18.9048,-3.5265,32.6,5.66,araouane
343,GL,10,66,1616429709,60.1432,-45.2371,-4.02,7.94,nanortalik
344,CD,88,66,1616429710,-4.05,19.5333,27.27,0.67,mangai
345,VE,40,54,1616429712,7.7669,-72.225,28.0,3.6,san cristobal
346,AU,75,69,1616429713,-20.7333,139.5,27.0,2.57,mount isa
347,PK,40,73,1616429714,24.9056,67.0822,26.0,4.63,karachi
348,PG,100,80,1616429716,-6.2167,155.6333,26.28,0.74,kieta
